rider_id,start_hour,end_hour,zone_id
1,8,17,69
2,9,20,81
3,11,22,27
4,10,18,55
5,11,16,48
6,7,20,4
7,11,21,12
8,6,18,34
9,8,19,60
10,9,22,8
11,10,18,69
12,6,16,36
13,9,18,24
14,10,17,90
15,10,21,90
16,6,18,28
17,10,20,46
18,10,21,91
19,11,22,61
20,6,19,3
21,9,22,44
22,8,18,64
23,9,17,44
24,7,19,51
25,7,16,76
26,8,20,16
27,8,20,24
28,8,16,20
29,8,17,54
30,9,18,38
31,11,21,86
32,9,16,12
33,9,19,70
34,9,21,81
35,11,21,88
36,11,19,15
37,7,17,15
38,9,22,27
39,8,18,25
40,7,18,89
41,8,20,75
42,10,16,39
43,8,19,6
44,10,21,52
45,11,16,68
46,7,22,16
47,6,18,89
48,6,18,1
49,10,16,65
50,8,21,28
51,11,16,48
52,9,16,17
53,6,20,22
54,7,19,45
55,6,18,56
56,7,20,43
57,7,22,98
58,11,19,19
59,10,19,7
60,7,18,45
61,10,17,48
62,8,16,32
63,7,21,92
64,11,18,88
65,11,21,7
66,8,19,54
67,9,18,50
68,11,21,34
69,6,19,59
70,7,19,8
71,7,17,92
72,10,21,21
73,8,16,54
74,10,16,44
75,11,18,59
76,10,21,77
77,11,19,89
78,9,22,20
79,11,17,70
80,7,19,33
81,10,18,91
82,10,17,14
83,10,20,39
84,9,16,47
85,7,20,72
86,8,19,53
87,8,22,71
88,8,18,29
89,7,16,84
90,7,17,12
91,7,16,9
92,10,17,11
93,11,19,20
94,7,21,57
95,10,17,42
96,6,16,79
97,8,22,76
98,9,19,50
99,7,18,87
100,10,22,26
101,6,21,48
102,7,21,3
103,9,18,59
104,8,19,67
105,9,16,53
106,11,16,40
107,9,22,9
108,7,22,50
109,6,22,18
110,10,19,71
111,6,17,19
112,6,18,43
113,11,21,54
114,10,19,53
115,9,20,84
116,8,22,78
117,7,16,38
118,8,18,27
119,7,18,3
120,11,21,51
121,9,22,1
122,9,19,45
123,11,19,96
124,10,18,72
125,11,18,27
126,8,16,47
127,6,21,25
128,7,21,26
129,9,21,26
130,7,18,1
131,11,19,76
132,6,19,62
133,7,18,97
134,8,19,68
135,8,20,48
136,6,20,45
137,7,16,87
138,10,19,61
139,9,20,92
140,9,21,64
141,11,16,6
142,9,20,3
143,10,18,29
144,10,20,52
145,7,20,97
146,9,17,69
147,6,20,14
148,7,20,40
149,8,19,21
150,7,20,34
151,10,17,88
152,9,19,27
153,11,19,16
154,6,19,10
155,8,16,23
156,9,19,8
157,6,17,6
158,10,17,53
159,11,22,44
160,11,19,12
161,11,22,64
162,6,17,23
163,7,20,56
164,9,16,90
165,7,18,16
166,9,22,75
167,11,16,86
168,9,22,19
169,8,18,83
170,11,20,95
171,7,22,30
172,9,22,98
173,6,18,81
174,8,21,11
175,9,17,84
176,11,22,27
177,10,20,80
178,10,17,56
179,9,20,37
180,10,18,15
181,6,16,56
182,10,20,81
183,9,20,4
184,6,20,97
185,8,18,8
186,10,19,73
187,6,18,44
188,6,22,37
189,8,17,32
190,9,18,71
191,11,17,81
192,9,16,24
193,10,22,90
194,6,19,27
195,11,17,6
196,7,17,92
197,10,20,97
198,8,21,38
199,8,17,64
200,11,16,1
201,8,20,92
202,7,19,61
203,6,18,73
204,7,17,79
205,11,18,98
206,6,20,62
207,9,22,22
208,7,17,41
209,10,17,54
210,9,20,6
211,6,18,44
212,8,18,66
213,9,19,61
214,10,22,1
215,11,21,87
216,6,17,68
217,6,17,92
218,6,20,98
219,7,19,61
220,11,22,59
221,9,21,6
222,7,20,20
223,9,16,75
224,9,18,18
225,10,20,74
226,10,19,64
227,11,20,91
228,11,20,65
229,8,18,49
230,9,17,10
231,11,16,91
232,10,16,83
233,6,16,69
234,6,21,97
235,10,20,94
236,8,20,35
237,8,17,23
238,7,22,1
239,7,18,65
240,11,22,38
241,10,19,49
242,7,20,10
243,9,22,39
244,11,20,38
245,11,22,33
246,11,16,42
247,10,17,52
248,11,16,56
249,8,19,44
250,7,20,36
251,6,16,8
252,11,22,48
253,11,18,83
254,8,19,92
255,9,22,83
256,11,18,61
257,10,18,5
258,8,22,97
259,11,16,45
260,11,22,10
261,9,22,62
262,6,18,83
263,8,18,90
264,6,20,87
265,6,21,59
266,9,22,28
267,6,17,83
268,6,20,29
269,9,17,74
270,11,20,79
271,8,20,53
272,7,19,86
273,6,22,82
274,10,16,8
275,10,16,34
276,6,18,31
277,10,20,13
278,9,22,24
279,7,18,67
280,9,19,98
281,9,16,36
282,6,18,78
283,6,18,11
284,8,19,31
285,6,22,61
286,8,16,48
287,8,22,73
288,6,20,38
289,7,19,46
290,6,16,28
291,6,22,55
292,8,21,95
293,10,22,1
294,8,22,86
295,11,20,63
296,6,16,2
297,6,18,70
298,9,22,30
299,7,22,94
300,10,22,46
301,6,19,14
302,6,19,86
303,9,22,90
304,9,18,18
305,10,17,48
306,8,22,91
307,6,22,90
308,8,18,70
309,8,20,8
310,9,20,74
311,10,17,76
312,9,18,7
313,11,16,84
314,6,20,69
315,10,19,54
316,7,17,55
317,6,16,2
318,11,19,69
319,7,17,35
320,9,19,29
321,6,16,13
322,9,17,81
323,7,20,13
324,11,22,47
325,6,21,47
326,7,21,31
327,11,19,61
328,7,22,47
329,8,20,24
330,10,22,17
331,7,17,40
332,7,18,42
333,7,16,20
334,11,16,94
335,8,18,94
336,9,21,36
337,11,22,87
338,9,16,25
339,6,16,17
340,8,19,98
341,7,17,27
342,7,18,81
343,7,18,3
344,11,22,89
345,6,18,78
346,10,18,44
347,6,16,75
348,11,22,27
349,9,19,17
350,7,16,61
351,7,21,27
352,11,19,20
353,9,21,9
354,10,19,92
355,7,19,25
356,7,20,90
357,10,18,10
358,9,21,79
359,10,20,75
360,7,17,50
361,10,16,6
362,8,18,77
363,9,19,73
364,8,22,12
365,11,21,81
366,11,20,7
367,11,16,71
368,6,20,30
369,10,21,66
370,9,18,66
371,9,18,75
372,6,17,81
373,10,20,84
374,9,20,81
375,9,18,75
376,11,19,2
377,10,20,95
378,10,20,62
379,8,19,8
380,11,16,26
381,6,16,79
382,9,16,63
383,6,22,17
384,11,20,16
385,8,21,28
386,8,19,87
387,11,17,60
388,6,21,88
389,7,20,77
390,8,21,35
391,10,18,30
392,10,20,95
393,6,18,77
394,6,18,8
395,11,22,20
396,7,19,66
397,11,21,29
398,6,19,75
399,9,21,34
400,8,18,42
401,6,18,80
402,6,17,53
403,11,17,15
404,11,22,55
405,8,22,79
406,9,19,75
407,6,17,52
408,9,18,31
409,9,17,44
410,11,21,73
411,11,21,33
412,7,18,84
413,6,18,89
414,6,19,23
415,6,21,58
416,9,19,59
417,11,20,16
418,10,21,20
419,8,16,56
420,8,21,56
421,6,21,60
422,6,19,58
423,6,22,60
424,9,20,84
425,8,18,16
426,11,21,85
427,10,22,59
428,6,20,60
429,11,20,37
430,11,17,52
431,11,16,57
432,11,19,27
433,11,17,80
434,8,17,54
435,6,22,5
436,6,18,85
437,7,20,38
438,9,19,83
439,10,21,67
440,9,17,78
441,6,18,4
442,7,22,30
443,10,17,5
444,8,19,95
445,8,17,43
446,10,22,10
447,7,16,94
448,10,18,18
449,6,21,57
450,11,17,70
451,11,18,20
452,8,16,38
453,10,22,57
454,10,18,60
455,11,16,88
456,6,20,64
457,11,16,94
458,8,22,27
459,10,20,46
460,6,21,1
461,8,20,17
462,7,17,58
463,6,21,10
464,6,16,3
465,10,22,8
466,9,19,84
467,9,18,62
468,9,19,41
469,10,22,94
470,9,16,70
471,8,16,86
472,11,21,11
473,6,22,13
474,9,20,17
475,10,21,46
476,10,22,60
477,8,22,86
478,9,16,49
479,10,19,70
480,7,17,89
481,6,19,52
482,7,16,76
483,10,22,77
484,6,18,31
485,10,19,12
486,8,16,64
487,10,21,83
488,8,21,39
489,7,22,67
490,6,18,36
491,6,22,12
492,10,21,56
493,7,17,78
494,11,21,69
495,8,18,43
496,6,17,90
497,10,17,30
498,7,17,18
499,8,16,72
500,11,19,75
501,6,21,51
502,8,18,90
503,10,19,21
504,9,16,70
505,11,16,52
506,9,17,55
507,8,18,42
508,10,17,94
509,8,16,17
510,9,21,42
511,7,20,77
512,7,16,81
513,9,21,87
514,6,17,35
515,8,21,6
516,9,19,16
517,9,21,71
518,7,20,98
519,7,20,12
520,8,19,79
521,11,16,25
522,6,20,39
523,11,20,23
524,6,19,2
525,8,16,97
526,7,16,21
527,6,22,64
528,8,17,3
529,11,22,4
530,6,17,3
531,9,17,42
532,7,19,60
533,6,18,1
534,8,17,45
535,6,19,58
536,11,20,82
537,10,17,45
538,6,22,95
539,10,19,91
540,11,19,33
541,6,22,76
542,6,16,28
543,7,19,63
544,8,21,18
545,8,21,16
546,8,19,58
547,11,21,69
548,6,21,44
549,8,22,44
550,9,22,15
551,9,17,98
552,7,22,56
553,11,21,40
554,8,20,48
555,6,18,23
556,10,18,28
557,9,19,85
558,6,18,68
559,6,20,79
560,6,21,2
561,9,18,36
562,10,18,55
563,7,20,94
564,11,17,36
565,8,18,95
566,8,16,95
567,7,20,82
568,7,16,60
569,10,20,79
570,9,19,97
571,7,19,5
572,8,20,49
573,9,21,91
574,7,20,17
575,9,20,78
576,7,16,5
577,10,18,73
578,9,19,81
579,10,18,66
580,9,16,53
581,9,17,81
582,11,22,87
583,8,21,50
584,10,19,18
585,6,16,2
586,11,20,24
587,7,18,3
588,10,20,71
589,8,19,71
590,9,19,45
591,8,22,85
592,6,20,92
593,8,21,60
594,11,22,22
595,6,17,65
596,10,18,8
597,10,21,92
598,11,21,54
599,10,20,20
600,6,16,38
601,9,20,84
602,10,18,87
603,6,20,87
604,6,20,15
605,9,16,19
606,6,19,43
607,7,16,78
608,6,19,38
609,7,18,49
610,10,22,61
611,9,18,73
612,6,19,71
613,9,19,37
614,8,17,98
615,9,16,95
616,7,21,93
617,9,19,11
618,8,21,13
619,6,18,1
620,6,18,54
621,7,17,49
622,10,21,90
623,7,20,33
624,8,20,73
625,11,18,25
626,9,21,44
627,9,19,78
628,6,17,13
629,11,21,85
630,11,20,37
631,7,20,12
632,8,22,78
633,6,20,10
634,8,19,24
635,7,21,98
636,7,20,39
637,11,17,35
638,10,17,95
639,9,16,44
640,7,20,92
641,7,21,5
642,11,22,80
643,11,18,38
644,6,18,63
645,8,17,52
646,8,17,44
647,7,16,69
648,11,17,77
649,6,19,71
650,7,20,17
651,6,16,82
652,10,18,35
653,11,20,27
654,8,18,78
655,8,21,15
656,10,17,55
657,11,21,14
658,6,19,48
659,10,21,49
660,7,19,70
661,10,20,87
662,8,19,26
663,7,21,54
664,6,21,46
665,11,20,44
666,11,19,22
667,8,21,44
668,9,16,48
669,9,17,12
670,10,22,17
671,9,19,57
672,11,22,60
673,6,18,31
674,11,18,54
675,9,18,19
676,6,19,40
677,11,19,26
678,7,18,67
679,7,22,21
680,10,22,50
681,9,17,52
682,11,21,41
683,6,18,18
684,9,22,68
685,11,20,75
686,11,19,8
687,10,21,88
688,9,16,50
689,7,22,21
690,9,17,70
691,11,18,32
692,7,20,75
693,8,21,38
694,8,18,68
695,10,20,2
696,9,16,73
697,9,20,88
698,8,19,62
699,9,17,51
700,9,17,92
701,9,16,35
702,7,17,97
703,10,21,22
704,11,17,15
705,7,17,64
706,10,19,45
707,8,16,96
708,10,16,86
709,11,20,69
710,7,19,12
711,6,17,14
712,6,16,39
713,7,20,51
714,7,17,83
715,9,19,46
716,7,16,91
717,10,16,30
718,6,17,14
719,11,16,39
720,10,22,65
721,9,16,43
722,7,21,74
723,8,21,44
724,8,20,19
725,6,22,58
726,11,17,92
727,6,21,4
728,11,20,35
729,8,20,5
730,9,22,11
731,10,18,41
732,8,18,67
733,7,17,76
734,8,20,97
735,9,20,3
736,7,18,67
737,6,22,58
738,10,18,22
739,9,18,25
740,9,19,66
741,8,20,31
742,11,21,26
743,7,19,32
744,11,18,80
745,10,20,14
746,8,20,8
747,8,18,91
748,10,20,90
749,8,22,20
750,10,22,96
751,9,17,18
752,11,21,47
753,7,18,12
754,6,22,36
755,11,17,11
756,7,21,36
757,11,20,61
758,9,17,65
759,11,22,33
760,10,21,12
761,7,16,36
762,9,17,72
763,6,16,18
764,8,22,92
765,10,18,34
766,6,22,92
767,6,19,89
768,7,20,44
769,11,17,58
770,11,17,82
771,7,17,64
772,11,22,32
773,7,22,26
774,6,16,92
775,11,19,51
776,10,21,71
777,9,16,42
778,6,18,6
779,11,21,32
780,11,18,20
781,7,16,73
782,11,19,76
783,8,18,94
784,11,20,17
785,7,18,83
786,8,19,43
787,11,20,26
788,7,17,24
789,6,21,1
790,10,21,42
791,10,19,37
792,10,20,32
793,10,19,72
794,11,20,6
795,11,20,26
796,8,18,16
797,8,18,3
798,11,19,94
799,6,20,74
800,7,18,74
801,9,16,26
802,6,16,17
803,10,22,64
804,6,17,33
805,10,20,83
806,7,18,43
807,8,21,76
808,9,16,81
809,11,17,30
810,11,18,72
811,7,19,86
812,10,17,72
813,10,17,54
814,9,16,9
815,8,16,6
816,10,20,22
817,10,17,95
818,11,18,84
819,11,19,75
820,7,21,29
821,11,18,95
822,8,22,78
823,11,22,22
824,6,22,75
825,9,19,9
826,8,19,74
827,6,16,13
828,10,16,79
829,7,16,77
830,6,19,47
831,6,17,88
832,9,22,82
833,10,19,21
834,8,19,91
835,8,22,68
836,9,21,25
837,10,18,82
838,7,18,38
839,6,22,61
840,11,19,69
841,8,16,86
842,8,16,91
843,6,19,48
844,7,19,58
845,8,19,76
846,9,20,40
847,9,19,46
848,6,19,27
849,11,19,11
850,10,20,84
851,6,22,23
852,11,18,25
853,10,20,50
854,6,18,24
855,11,16,29
856,11,22,67
857,11,17,27
858,9,22,96
859,11,17,1
860,8,17,54
861,7,19,29
862,11,20,9
863,7,16,8
864,9,20,32
865,7,20,38
866,11,18,58
867,11,21,57
868,7,21,64
869,10,16,80
870,10,18,69
871,7,21,54
872,11,21,93
873,9,21,44
874,11,16,86
875,11,19,41
876,6,18,66
877,7,20,44
878,10,21,44
879,7,22,14
880,8,20,39
881,7,19,28
882,9,19,49
883,10,20,5
884,6,21,3
885,6,19,88
886,7,18,26
887,7,18,55
888,11,22,95
889,11,22,94
890,11,19,47
891,6,22,49
892,6,17,58
893,10,21,16
894,11,20,40
895,6,20,20
896,8,17,15
897,11,20,64
898,11,19,63
899,7,17,1
900,9,19,25
901,11,22,24
902,7,17,16
903,8,22,90
904,11,18,61
905,10,20,40
906,6,21,52
907,6,20,76
908,9,20,71
909,11,20,12
910,9,20,80
911,6,17,89
912,8,20,43
913,9,21,88
914,8,18,56
915,8,19,38
916,10,21,19
917,11,21,47
918,8,16,26
919,6,18,81
920,10,19,25
921,9,21,36
922,9,18,60
923,11,20,9
924,8,22,63
925,9,20,55
926,7,21,6
927,7,21,6
928,10,17,33
929,10,16,72
930,6,20,16
931,8,22,67
932,8,21,50
933,10,21,87
934,11,22,78
935,10,19,44
936,11,22,61
937,8,17,80
938,10,18,59
939,10,18,82
940,10,17,45
941,8,16,72
942,9,18,14
943,11,19,32
944,6,19,64
945,7,20,32
946,8,21,70
947,6,21,97
948,11,16,47
949,7,16,33
950,11,20,74
951,6,17,65
952,7,22,24
953,11,16,61
954,8,22,8
955,7,21,60
956,7,18,26
957,11,20,72
958,10,22,3
959,6,20,77
960,6,18,29
961,6,19,51
962,10,21,64
963,11,18,85
964,7,22,89
965,8,16,6
966,10,16,60
967,9,18,14
968,11,20,17
969,7,20,56
970,6,17,43
971,9,21,46
972,10,17,72
973,6,22,23
974,11,21,70
975,9,18,87
976,7,22,80
977,6,18,36
978,7,20,51
979,11,16,29
980,6,17,77
981,10,22,60
982,9,16,79
983,11,16,82
984,11,19,79
985,8,17,55
986,7,20,93
987,7,21,3
988,11,19,17
989,6,21,51
990,9,22,94
991,10,18,3
992,11,20,28
993,10,19,23
994,11,21,70
995,8,17,48
996,11,16,36
997,8,18,97
998,7,19,25
999,8,20,70
